"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"79","Andrew Luck",2018,0.883803506264906,0.121530450741247,91.2,757,0.848751499509516,0.102357603350751,75.7,4305
"80","David Garrard",2007,0.882850560773111,0.228848688883829,80.9,429,0.756261570586602,0.0558084854720962,73.2,2563
"81","Patrick Mahomes",2023,0.882501377477429,0.129226441214869,90.3,791,0.991914457321846,0.253419966228674,89.5166666666667,5109
"82","Matt Ryan",2017,0.882291764490112,0.150032621796405,88.3,644,0.90969677727642,0.122401377083703,80.08,10221
"83","Drew Brees",2013,0.882115060519415,0.193033004780123,84.2,776,0.972591129618359,0.184613509396664,86.0866666666667,10373
"84","Andrew Luck",2016,0.881849630214616,0.127277927668863,90.4,628,0.848751499509516,0.102357603350751,75.7,4305
"85","Drew Brees",2008,0.881795378539799,0.216853301303846,81.9,653,0.972591129618359,0.184613509396664,86.0866666666667,10373
"86","Russell Wilson",2020,0.881266114773511,0.125425941566353,90.5,696,0.922127540654702,0.121056387871782,81.8416666666667,7996
"87","Baker Mayfield",2020,0.88049064801686,0.174996322897011,85.7,612,0.745654809438309,0.0558571752733447,72.5166666666667,3600
"88","Russell Wilson",2015,0.87569788596439,0.210766913380306,81.7,672,0.922127540654702,0.121056387871782,81.8416666666667,7996
"89","Matthew Stafford",2019,0.875201290573952,0.200619646622815,82.6,320,0.82311958418657,0.085109677812881,75.2,9152
"90","Drew Brees",2014,0.873439929581172,0.129755586922093,89.1,702,0.972591129618359,0.184613509396664,86.0866666666667,10373
"91","Patrick Mahomes",2021,0.872505588404636,0.223463226139868,80.1,880,0.991914457321846,0.253419966228674,89.5166666666667,5109
"92","Drew Brees",2015,0.871143630857961,0.151037505241091,86.8,661,0.972591129618359,0.184613509396664,86.0866666666667,10373
"93","Aaron Rodgers",2018,0.870163890654566,0.126575443433385,89,681,0.979421840847449,0.206469976661852,86.52,10172
"94","Lamar Jackson",2023,0.869639181246685,0.111138254905037,90.4,633,0.904444296982111,0.13194818392784,78.55,3530
"95","Matthew Stafford",2023,0.865160171955792,0.12868529241341,88.2,605,0.82311958418657,0.085109677812881,75.2,9152
"96","Drew Brees",2010,0.862688330780001,0.137220510208038,87.1,747,0.972591129618359,0.184613509396664,86.0866666666667,10373
